Latitude,Ratings,url,Name,Longtitude
77.60393,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d1111439-Reviews-Bheema_s-Bengaluru_Karnataka.html,Bheema's,1111439
77.64578,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d7010115-Reviews-Ministry_of_Food-Bengaluru_Karnataka.html,Ministry of Food,7010115
77.614426,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d8399054-Reviews-My_Cafe-Bengaluru_Karnataka.html,My Cafe,8399054
77.598595,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d810673-Reviews-Sunny_s_Restaurant-Bengaluru_Karnataka.html,Sunny's Restaurant,810673
77.73772,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d1718561-Reviews-Terracotta-Bengaluru_Karnataka.html,Terracotta,1718561
77.59412,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d816734-Reviews-Millers_46-Bengaluru_Karnataka.html,Millers 46,816734
77.68351,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d2355487-Reviews-The_Square_Food_Outside_the_Box-Bengaluru_Karnataka.html,The Square - Food Outside the Box,2355487
77.54898,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d3568319-Reviews-The_Higher_Taste-Bengaluru_Karnataka.html,The Higher Taste,3568319
77.59429,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d3795154-Reviews-Rasovara_The_Royal_Kitchen-Bengaluru_Karnataka.html,Rasovara - The Royal Kitchen,3795154
77.59579,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d3683229-Reviews-Banjara_Melting_Pot-Bengaluru_Karnataka.html,Banjara Melting Pot,3683229
77.609726,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d1191145-Reviews-Tandoor-Bengaluru_Karnataka.html,Tandoor,1191145
77.58583,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d7686568-Reviews-Hakuna_Matata-Bengaluru_Karnataka.html,Hakuna Matata,7686568
77.5826,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d1506782-Reviews-Mynt-Bengaluru_Karnataka.html,Mynt,1506782
77.57634,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d1066853-Reviews-Dublin-Bengaluru_Karnataka.html,Dublin,1066853
77.60872,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d4300300-Reviews-Monkey_Bar-Bengaluru_Karnataka.html,Monkey Bar,4300300
77.60016,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d1191094-Reviews-Harima-Bengaluru_Karnataka.html,Harima,1191094
77.60874,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d2543326-Reviews-Punjabi_By_Nature-Bengaluru_Karnataka.html,Punjabi By Nature,2543326
77.59486,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d794092-Reviews-Infinitea-Bengaluru_Karnataka.html,Infinitea,794092
,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d3335475-Reviews-Matteo_Coffea-Bengaluru_Karnataka.html,,
77.70732,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d3573707-Reviews-Barbeque_Nation-Bengaluru_Karnataka.html,Barbeque Nation,3573707
77.513275,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d4082113-Reviews-Shivaji_Military_Hotel-Bengaluru_Karnataka.html,Shivaji Military Hotel,4082113
77.61051,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d10194054-Reviews-The_Permit_Room-Bengaluru_Karnataka.html,The Permit Room,10194054
77.638435,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d5908101-Reviews-The_Punjabi_Rasoi-Bengaluru_Karnataka.html,The Punjabi Rasoi,5908101
77.658714,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d9562370-Reviews-Kota_Kachori-Bengaluru_Karnataka.html,Kota Kachori,9562370
77.602646,4.0,https://www.tripadvisor.in/Restaurant_Review-g297628-d810669-Reviews-Hotel_Empire_Restaurant-Bengaluru_Karnataka.html,Hotel Empire Restaurant,810669
77.60651,4.5,https://www.tripadvisor.in/Restaurant_Review-g297628-d9732371-Reviews-Nimisserie-Bengaluru_Karnataka.html,Nimisserie,9732371
